branch,shift_sessions,log_loss,brier_score,roc_auc,accuracy,calibration_slope,probability_spread_return,logloss_improvement_vs_R1,brier_improvement_vs_R1
qimen,149,0.7034485078894505,0.2550524847615232,0.4500289763447658,0.5012722646310432,-0.743670400879225,-0.0014212576121978254,-0.008882815136424305,-0.004354186452615927
qimen,157,0.6974587574050284,0.2520866550838181,0.4822980875612455,0.5190839694656488,-0.29687501553904533,7.539994903829932e-05,-0.0028930646520022307,-0.0013883567749108372
qimen,167,0.6985894452649393,0.2526713270396206,0.4771877140298193,0.5267175572519084,-0.36066023148572185,-0.001565348151881114,-0.0040237525119131146,-0.001973028730713311
qimen,181,0.6915552825371085,0.24918660694859107,0.5172277540698593,0.5267175572519084,0.19607801304220157,0.0003095217125677007,0.003010410215917636,0.001511691360316203
qimen,197,0.6947684664483982,0.25082622975174473,0.48627574943364416,0.5139949109414759,-0.08000449965574398,-0.0010640218098139087,-0.00020277369537202716,-0.00012793144283745894
qimen,211,0.69713697483079,0.25194405583758434,0.47573889679152837,0.5165394402035624,-0.32117366528521024,-0.0026267534862079926,-0.0025712820777638035,-0.0012457575286770606
qimen,227,0.6925119183968533,0.24969667970675868,0.495363784837469,0.49872773536895676,0.10036096339698684,0.0014664464275271503,0.0020537743561728217,0.0010016186021485907
qimen,241,0.6982121956593217,0.2524276718741316,0.4889363047257784,0.5063613231552163,-0.31395791895109026,0.00022726992115055988,-0.0036465029062955345,-0.0017293735652243458
meihua,5,0.6983047757258072,0.2525233710046801,0.4728939465781571,0.5012722646310432,-0.35120666765979225,-0.00040415872641897814,-0.003739082972781027,-0.0018250726957728114
meihua,7,0.697408813550461,0.25203207134226285,0.4845898530109056,0.5139949109414759,-0.27941291194515333,-0.00103785123744674,-0.0028431207974348727,-0.0013337730333555786
meihua,11,0.6958082640559604,0.25127353023498405,0.4867499078025394,0.5267175572519084,-0.3051051946984315,-0.0011084705592525079,-0.0012425713029342589,-0.0005752319260767802
meihua,13,0.6962885434972014,0.25151466197029815,0.4815868500079027,0.5089058524173028,-0.2791150126299101,-0.00025175037387309066,-0.0017228507441752194,-0.0008163636613908731
meihua,17,0.6977357124950146,0.25222357790671657,0.4813497708234551,0.5165394402035624,-0.4360073436171564,-0.0014199827718264042,-0.0031700197419884946,-0.0015252795978092926
meihua,19,0.6936329767433715,0.25020967160059165,0.49610136452241715,0.5216284987277354,0.009878979389999083,0.0004331302960312849,0.0009327160096546105,0.0004886267083156204
meihua,23,0.6911642040564552,0.24901876983993376,0.49878826194615666,0.5521628498727735,0.1920387108916441,-6.849511582417557e-05,0.0034014886965709756,0.0016795284689735124
meihua,29,0.6966369339827811,0.25169678373888016,0.47847847847847846,0.5216284987277354,-0.31819221811715215,-0.00043520236669105955,-0.0020712412297549943,-0.000998485429972884
meihua,31,0.6940399268243705,0.2504041710871357,0.4920183341235973,0.5165394402035624,-0.03656775342521761,0.00021633931859046837,0.0005257659286556082,0.00029412722177157846
meihua,37,0.6948504378403448,0.25080752908179493,0.4870133291185923,0.5343511450381679,-0.1874755120334471,0.0007150284166285299,-0.000284745087318683,-0.00010923077288765848
meihua,41,0.6962036920469675,0.2514942093827859,0.48113903377061273,0.5190839694656488,-0.2966272138732673,-3.6048533671470735e-05,-0.0016379992939413723,-0.0007959110738786079
meihua,47,0.6976135933339577,0.2521968458118503,0.4739212897107634,0.5089058524173028,-0.43132497253810625,0.0002599879312650983,-0.0030479005809315174,-0.0014985475029430373
meihua,53,0.6985301953415212,0.25263739783739464,0.4669406248353617,0.5012722646310432,-0.4747569682932949,-0.0019885422752096626,-0.003964502588495011,-0.0019390995284873647
meihua,59,0.6963389572634398,0.251547986986549,0.47344713134186817,0.5292620865139949,-0.33006155759571826,4.446415737725123e-05,-0.001773264510413597,-0.0008496886776417356
